,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hithadhoo,-0.6,73.08,84.49,75,34,12.33,MV,1592281006
1,Kapaa,22.08,-159.32,82.4,69,75,16.11,US,1592281006
2,Saint Paul Harbor,57.79,-152.41,57.2,50,90,10.29,US,1592280852
3,Hermanus,-34.42,19.23,52.0,86,20,1.01,ZA,1592281006
4,Beringovskiy,63.05,179.32,45.23,81,17,6.51,RU,1592281007
5,Prachin Buri,14.05,101.37,83.41,78,100,6.42,TH,1592281007
6,Sitka,57.05,-135.33,57.2,67,75,11.41,US,1592281003
7,Punta Arenas,-53.15,-70.92,35.6,93,13,4.7,CL,1592281007
8,Ushuaia,-54.8,-68.3,39.2,80,20,3.36,AR,1592281007
9,San Quintín,30.48,-115.95,63.32,83,0,7.94,MX,1592281007
10,New Norfolk,-42.78,147.06,46.99,82,76,4.0,AU,1592280967
11,Ixtapa,20.7,-105.2,79.0,78,20,2.24,MX,1592281008
12,Beeville,28.4,-97.75,78.8,94,1,4.7,US,1592280870
13,Constitución,-35.33,-72.42,55.02,93,100,19.75,CL,1592280733
14,Chui,-33.7,-53.46,56.1,93,59,8.3,UY,1592281008
15,Carnarvon,-24.87,113.63,77.0,14,0,13.87,AU,1592281008
16,Hasaki,35.73,140.83,90.0,65,75,6.93,JP,1592281008
17,Vanimo,-2.67,141.3,85.87,63,69,5.79,PG,1592281008
18,Vanavara,60.34,102.28,62.26,43,26,6.55,RU,1592281009
19,Suntar,62.14,117.63,76.35,41,55,6.06,RU,1592280722
20,Urucará,-2.54,-57.76,75.16,78,2,1.43,BR,1592281009
21,Oktyabr'skoye,43.06,44.74,68.0,82,38,2.24,RU,1592280464
22,El Alto,-4.27,-81.21,65.44,81,33,13.98,PE,1592281009
23,Saint-Philippe,-21.36,55.77,68.0,72,56,6.93,RE,1592281009
24,Albany,42.6,-73.97,57.99,63,0,2.51,US,1592280906
25,Busselton,-33.65,115.33,63.0,79,90,5.01,AU,1592281010
26,Ranong,9.97,98.63,87.8,70,40,8.05,TH,1592281010
27,Ribeira Grande,38.52,-28.7,63.45,82,2,14.43,PT,1592281010
28,Tuktoyaktuk,69.45,-133.04,62.6,42,75,8.05,CA,1592281010
29,Jamestown,42.1,-79.24,57.2,58,1,6.93,US,1592280936
30,Domna,51.9,113.16,78.8,39,0,2.24,RU,1592280473
31,Carbonia,39.17,8.52,66.0,93,20,3.36,IT,1592281010
32,Grande Prairie,55.17,-118.8,53.6,66,90,10.29,CA,1592280828
33,Tiksi,71.69,128.87,54.25,75,100,20.85,RU,1592281011
34,Mar del Plata,-38.0,-57.56,54.0,93,85,13.87,AR,1592280733
35,Cabadiangan,9.75,122.47,88.57,61,100,6.98,PH,1592281011
36,Avarua,-21.21,-159.78,71.6,60,61,5.82,CK,1592281011
37,Sulangan,11.14,123.72,83.37,69,99,7.2,PH,1592281011
38,Alofi,-19.06,-169.92,75.2,64,40,21.92,NU,1592281011
39,Saskylakh,71.92,114.08,56.98,54,63,20.29,RU,1592281012
40,Fukuechō,32.69,128.84,78.8,74,20,8.05,JP,1592281012
41,Atuona,-9.8,-139.03,80.56,73,90,14.16,PF,1592280907
42,Arraial do Cabo,-22.97,-42.03,69.24,81,98,14.12,BR,1592281012
43,Mataura,-46.19,168.86,54.23,77,100,4.23,NZ,1592281013
44,Dikson,73.51,80.55,33.37,93,28,12.44,RU,1592281013
45,Brae,60.4,-1.35,53.6,87,0,6.93,GB,1592281013
46,Nanortalik,60.14,-45.24,40.69,89,100,13.62,GL,1592281013
47,Lebu,-37.62,-73.65,52.74,86,4,14.54,CL,1592281013
48,Rikitea,-23.12,-134.97,75.63,83,100,9.86,PF,1592281014
49,Port Alfred,-33.59,26.89,55.99,95,73,3.0,ZA,1592281014
50,Władysławowo,54.79,18.4,57.99,93,81,3.36,PL,1592281014
51,Ubinskoye,55.31,79.68,55.45,66,13,7.83,RU,1592281014
52,Tuatapere,-46.13,167.68,56.03,80,75,6.17,NZ,1592281014
53,Kruisfontein,-34.0,24.73,49.41,92,39,2.71,ZA,1592281014
54,Ostrovnoy,68.05,39.51,44.19,74,94,15.12,RU,1592281014
55,Labuhan,-6.88,112.21,85.21,72,90,8.52,ID,1592280717
56,Severo-Kuril'sk,50.68,156.12,42.89,84,99,13.49,RU,1592281015
57,Inírida,3.87,-67.92,72.9,98,87,2.82,CO,1592281015
58,Bluff,-46.6,168.33,56.3,77,89,12.82,NZ,1592281015
59,Beloha,-25.17,45.05,60.67,94,5,7.47,MG,1592281015
60,Itarema,-2.92,-39.92,76.41,88,25,8.99,BR,1592281015
61,Banikoara,11.3,2.44,81.7,63,14,6.69,BJ,1592281016
62,Airai,-8.93,125.41,71.33,74,93,5.79,TL,1592281016
63,Leningradskiy,69.38,178.42,51.53,66,0,8.19,RU,1592281016
64,Saldanha,-33.01,17.94,48.2,87,0,2.24,ZA,1592281016
65,Mayo,38.89,-76.51,66.2,68,20,6.93,US,1592281016
66,Vahan,40.58,45.4,58.37,69,0,4.76,AM,1592281016
67,Rock Sound,24.9,-76.2,81.34,77,100,14.0,BS,1592281017
68,East London,-33.02,27.91,51.8,93,40,6.93,ZA,1592280906
69,Lompoc,34.64,-120.46,57.2,87,100,11.41,US,1592281017
70,Ancud,-41.87,-73.82,52.0,93,90,21.92,CL,1592281017
71,Puerto Ayora,-0.74,-90.35,71.01,91,91,5.01,EC,1592280983
72,Takoradze,4.88,-1.76,78.35,83,99,4.65,GH,1592281017
73,Cape Town,-33.93,18.42,46.0,93,0,2.24,ZA,1592280900
74,Clyde River,70.47,-68.59,30.2,100,90,12.75,CA,1592281018
75,Doaba,33.42,70.74,93.18,12,0,4.07,PK,1592281018
76,Ouadda,8.08,22.4,66.54,90,53,2.95,CF,1592281018
77,Longyearbyen,78.22,15.64,37.4,69,40,12.75,SJ,1592281018
78,Krasnoborsk,61.56,45.93,66.9,54,0,9.08,RU,1592281019
79,Road Town,18.42,-64.62,82.99,87,50,7.0,VG,1592281019
80,Diego de Almagro,-26.37,-70.05,49.23,65,96,1.12,CL,1592281019
81,Loa Janan,-0.58,117.09,94.39,50,9,0.87,ID,1592281019
82,Lagoa,39.05,-27.98,63.75,82,0,14.92,PT,1592281019
83,Sharlyk,52.92,54.75,65.61,66,0,9.22,RU,1592281019
84,Pueblo,38.25,-104.61,84.2,18,1,14.99,US,1592280780
85,Charters Towers,-20.1,146.27,74.5,67,81,8.9,AU,1592281020
86,Mount Gambier,-37.83,140.77,57.2,82,75,17.22,AU,1592281020
87,Smirnykh,49.75,142.83,52.47,80,100,1.19,RU,1592281020
88,Turaif,31.67,38.66,64.4,63,0,11.41,SA,1592281020
89,Natal,-5.79,-35.21,77.0,94,40,5.82,BR,1592281020
90,Berlin,52.52,13.41,63.0,82,6,2.24,DE,1592280788
91,Pyinmana,19.73,96.22,83.75,73,93,10.13,MM,1592280912
92,Zverinogolovskoye,54.46,64.85,65.1,57,2,8.32,RU,1592281021
93,Ilulissat,69.22,-51.1,37.4,64,74,5.82,GL,1592281021
94,Castro,-24.79,-50.01,55.96,93,90,9.17,BR,1592281021
95,Hobart,-42.88,147.33,53.6,58,40,21.92,AU,1592280902
96,Thompson,55.74,-97.86,57.2,93,40,5.61,CA,1592281022
97,Salou,41.08,1.14,69.01,88,97,4.7,ES,1592281022
98,Hong Kong,22.29,114.16,88.0,86,0,3.0,HK,1592280726
99,Fortuna,40.6,-124.16,57.99,87,40,6.93,US,1592281022
100,Faanui,-16.48,-151.75,78.87,86,20,16.51,PF,1592281022
101,Daru,-9.08,143.21,79.83,84,83,18.92,PG,1592281022
102,Griffith,41.53,-87.42,60.01,72,1,4.47,US,1592281022
103,Río Cuarto,-33.13,-64.35,46.4,49,59,25.28,AR,1592281008
104,Dalby,-27.18,151.27,69.8,56,75,10.29,AU,1592281023
